true_label,decision,fired_rules
poisoned_high_rate,BLOCK,"['rule_grayhole_timediff', 'rule_grayhole_combined', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_combined', 'rule_poisoned_high_rate_stnum', 'rule_poisoned_high_rate_timefromlastchange', 'rule_random_replay_stnum_sqnum_mismatch']"
normal,BLOCK,"['rule_high_StNum_timeFromLastChange', 'rule_random_replay_stnum_sqnum_mismatch']"
grayhole,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff', 'rule_random_replay_large_stdiff', 'rule_random_replay_timestamp_anomaly', 'rule_random_replay_combined']"
masquerade_fake_normal,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_high_StNum_stDiff', 'rule_high_StNum_timeFromLastChange', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_poisoned_high_rate_tdiff', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_stdiff', 'rule_random_replay_timestamp_anomaly']"
injection,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_timediff', 'rule_grayhole_combined', 'rule_high_StNum_timeFromLastChange', 'rule_injection_stdiff', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_inverse_replay_sqnum', 'rule_inverse_replay_stdiff_sqdiff', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_large_sqdiff']"
masquerade_fake_normal,BLOCK,"['rule_high_StNum_timeFromLastChange', 'rule_random_replay_stnum_sqnum_mismatch']"
masquerade_fake_normal,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_high_StNum_timeFromLastChange', 'rule_injection_sqdiff', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_stdiff', 'rule_random_replay_timestamp_anomaly']"
normal,BLOCK,"['rule_high_StNum_timeFromLastChange', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch']"
masquerade_fake_fault,BLOCK,"['rule_grayhole_timediff', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch']"
poisoned_high_rate,BLOCK,"['rule_grayhole_timediff', 'rule_grayhole_combined', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_combined', 'rule_poisoned_high_rate_stnum', 'rule_poisoned_high_rate_timefromlastchange', 'rule_random_replay_stnum_sqnum_mismatch']"
high_StNum,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_high_StNum_stDiff', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff', 'rule_random_replay_large_stdiff']"
grayhole,BLOCK,"['rule_high_StNum_timeFromLastChange', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch']"
high_StNum,BLOCK,"['rule_grayhole_sqnum', 'rule_high_StNum_timeFromLastChange', 'rule_injection_stdiff', 'rule_injection_combined', 'rule_inverse_replay_sqnum', 'rule_inverse_replay_stdiff_sqdiff', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff']"
high_StNum,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_high_StNum_stDiff', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff', 'rule_random_replay_large_stdiff']"
high_StNum,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_timediff', 'rule_grayhole_combined', 'rule_high_StNum_stDiff', 'rule_injection_tdiff', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_poisoned_high_rate_tdiff', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff', 'rule_random_replay_large_stdiff']"
inverse_replay,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_injection_tdiff', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_inverse_replay_tdiff', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff', 'rule_random_replay_large_stdiff', 'rule_random_replay_timestamp_anomaly', 'rule_random_replay_combined']"
masquerade_fake_fault,BLOCK,"['rule_grayhole_timediff', 'rule_grayhole_combined', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch']"
normal,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_injection_stdiff', 'rule_injection_combined', 'rule_inverse_replay_sqnum', 'rule_inverse_replay_stdiff_sqdiff', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff']"
injection,BLOCK,"['rule_high_StNum_timeFromLastChange', 'rule_injection_sqdiff', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_stdiff', 'rule_random_replay_timestamp_anomaly']"
masquerade_fake_normal,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_high_StNum_stDiff', 'rule_high_StNum_timeFromLastChange', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_stdiff', 'rule_random_replay_timestamp_anomaly']"
poisoned_high_rate,BLOCK,"['rule_grayhole_timediff', 'rule_grayhole_combined', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_combined', 'rule_poisoned_high_rate_stnum', 'rule_poisoned_high_rate_timefromlastchange', 'rule_random_replay_stnum_sqnum_mismatch']"
inverse_replay,BLOCK,"['rule_grayhole_sqnum', 'rule_injection_sqdiff', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_stdiff']"
high_StNum,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_high_StNum_stDiff', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_poisoned_high_rate_timefromlastchange', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff', 'rule_random_replay_large_stdiff']"
masquerade_fake_normal,BLOCK,"['rule_high_StNum_timeFromLastChange', 'rule_injection_stdiff', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_timestamp_anomaly']"
inverse_replay,BLOCK,"['rule_injection_stdiff', 'rule_injection_sqdiff', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch']"
poisoned_high_rate,BLOCK,"['rule_grayhole_timediff', 'rule_grayhole_combined', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_combined', 'rule_poisoned_high_rate_stnum', 'rule_poisoned_high_rate_timefromlastchange', 'rule_random_replay_stnum_sqnum_mismatch']"
high_StNum,BLOCK,"['rule_grayhole_timediff', 'rule_high_StNum_StNum', 'rule_high_StNum_timeFromLastChange', 'rule_injection_stdiff', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_inverse_replay_sqnum', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_poisoned_high_rate_tdiff', 'rule_random_replay_stnum_sqnum_mismatch']"
normal,BLOCK,"['rule_high_StNum_timeFromLastChange', 'rule_random_replay_stnum_sqnum_mismatch']"
masquerade_fake_fault,BLOCK,"['rule_high_StNum_timeFromLastChange', 'rule_random_replay_stnum_sqnum_mismatch']"
random_replay,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff', 'rule_random_replay_large_stdiff']"
grayhole,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_stdiff']"
inverse_replay,BLOCK,"['rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_random_replay_stnum_sqnum_mismatch']"
injection,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_injection_stdiff', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_inverse_replay_sqnum', 'rule_inverse_replay_stdiff_sqdiff', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff']"
masquerade_fake_normal,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_high_StNum_timeFromLastChange', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_zero_timestampdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_stdiff']"
masquerade_fake_fault,BLOCK,"['rule_injection_stdiff', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_timestamp_anomaly']"
inverse_replay,BLOCK,"['rule_injection_stdiff', 'rule_injection_sqdiff', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch']"
inverse_replay,BLOCK,"['rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_random_replay_stnum_sqnum_mismatch']"
normal,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff', 'rule_random_replay_large_stdiff', 'rule_random_replay_timestamp_anomaly', 'rule_random_replay_combined']"
high_StNum,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_timediff', 'rule_grayhole_combined', 'rule_high_StNum_stDiff', 'rule_high_StNum_timeFromLastChange', 'rule_injection_sqdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_stdiff']"
masquerade_fake_normal,BLOCK,"['rule_high_StNum_timeFromLastChange', 'rule_injection_stdiff', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_timestamp_anomaly']"
injection,BLOCK,"['rule_grayhole_sqnum', 'rule_injection_stdiff', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_inverse_replay_stdiff_sqdiff', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff', 'rule_random_replay_timestamp_anomaly']"
grayhole,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff', 'rule_random_replay_large_stdiff']"
masquerade_fake_normal,BLOCK,"['rule_high_StNum_timeFromLastChange', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch']"
normal,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_high_StNum_timeFromLastChange', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_stdiff', 'rule_random_replay_timestamp_anomaly']"
high_StNum,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_timediff', 'rule_grayhole_combined', 'rule_high_StNum_StNum', 'rule_high_StNum_stDiff', 'rule_high_StNum_stDiff_and_StNum', 'rule_high_StNum_timeFromLastChange', 'rule_high_StNum_combined', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_poisoned_high_rate_tdiff', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_stdiff']"
grayhole,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_combined', 'rule_injection_sqdiff', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_stdiff', 'rule_random_replay_timestamp_anomaly']"
random_replay,BLOCK,"['rule_inverse_replay_stdiff_sqdiff', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_combined', 'rule_random_replay_stnum_sqnum_mismatch']"
poisoned_high_rate,BLOCK,"['rule_grayhole_timediff', 'rule_grayhole_combined', 'rule_injection_timefromlastchange', 'rule_injection_combined', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_combined', 'rule_poisoned_high_rate_stnum', 'rule_poisoned_high_rate_timefromlastchange', 'rule_random_replay_stnum_sqnum_mismatch']"
grayhole,BLOCK,"['rule_high_StNum_timeFromLastChange', 'rule_masquerade_fake_normal_combined', 'rule_random_replay_stnum_sqnum_mismatch']"
high_StNum,BLOCK,"['rule_grayhole_sqnum', 'rule_grayhole_timediff', 'rule_grayhole_combined', 'rule_high_StNum_StNum', 'rule_high_StNum_stDiff', 'rule_high_StNum_stDiff_and_StNum', 'rule_high_StNum_timeFromLastChange', 'rule_high_StNum_combined', 'rule_injection_tdiff', 'rule_injection_combined', 'rule_masquerade_fake_fault_tdiff', 'rule_masquerade_fake_fault_timestampdiff', 'rule_masquerade_fake_fault_stdiff', 'rule_masquerade_fake_fault_sqdiff', 'rule_masquerade_fake_fault_combined', 'rule_masquerade_fake_normal_high_stnum', 'rule_masquerade_fake_normal_large_stdiff', 'rule_masquerade_fake_normal_combined', 'rule_poisoned_high_rate_tdiff', 'rule_random_replay_stnum_sqnum_mismatch', 'rule_random_replay_large_sqdiff', 'rule_random_replay_large_stdiff']"
